Round Number,Date,Type,Invitations,CRS Score
253,04-Jul-23,No Program Specified,700,511
252,28-Jun-23,Healthcare occupations (Version 1),500,476
251,27-Jun-23,No Program Specified,"4,300",486
250,08-Jun-23,No Program Specified,"4,800",486
249,24-May-23,No Program Specified,"4,800",488
248,10-May-23,Provincial Nominee Program,589,691
247,26-Apr-23,No Program Specified,"3,500",483
246,12-Apr-23,No Program Specified,"3,500",486
245,29-Mar-23,No Program Specified,"7,000",481
244,23-Mar-23,No Program Specified,"7,000",484
243,15-Mar-23,No Program Specified,"7,000",490
242,01-Mar-23,Provincial Nominee Program,667,748
241,15-Feb-23,Provincial Nominee Program,699,791
240,02-Feb-23,Federal Skilled Worker,"3,300",489
239,01-Feb-23,Provincial Nominee Program,893,733
238,18-Jan-23,No Program Specified,"5,500",490
237,11-Jan-23,No Program Specified,"5,500",507
236,23-Nov-22,No Program Specified,"4,750",491
235,09-Nov-22,No Program Specified,"4,750",494
234,26-Oct-22,No Program Specified,"4,750",496
233,12-Oct-22,No Program Specified,"4,250",500
232,28-Sep-22,No Program Specified,"3,750",504
231,14-Sep-22,No Program Specified,"3,250",510
230,31-Aug-22,No Program Specified,"2,750",516
229,17-Aug-22,No Program Specified,"2,250",525
228,03-Aug-22,No Program Specified,"2,000",533
227,20-Jul-22,No Program Specified,"1,750",542
226,06-Jul-22,No Program Specified,"1,500",557
225,22-Jun-22,Provincial Nominee Program,636,752
224,08-Jun-22,Provincial Nominee Program,932,796
223,25-May-22,Provincial Nominee Program,590,741
222,11-May-22,Provincial Nominee Program,545,753
221,27-Apr-22,Provincial Nominee Program,829,772
220,13-Apr-22,Provincial Nominee Program,787,782
219,30-Mar-22,Provincial Nominee Program,919,785
218,16-Mar-22,Provincial Nominee Program,924,754
217,02-Mar-22,Provincial Nominee Program,"1,047",761
216,16-Feb-22,Provincial Nominee Program,"1,082",710
215,02-Feb-22,Provincial Nominee Program,"1,070",674
214,19-Jan-22,Provincial Nominee Program,"1,036",745
213,05-Jan-22,Provincial Nominee Program,392,808
212,22-Dec-21,Provincial Nominee Program,746,720
211,10-Dec-21,Provincial Nominee Program,"1,032",698
210,24-Nov-21,Provincial Nominee Program,613,737
209,10-Nov-21,Provincial Nominee Program,775,685
208,27-Oct-21,Provincial Nominee Program,681,744
207,13-Oct-21,Provincial Nominee Program,681,720
206,29-Sep-21,Provincial Nominee Program,761,742
205,15-Sep-21,Provincial Nominee Program,521,732
204,14-Sep-21,Canadian Experience Class,"2,000",462
203,01-Sep-21,Provincial Nominee Program,635,764
202,19-Aug-21,Canadian Experience Class,"3,000",403
201,18-Aug-21,Provincial Nominee Program,463,751
200,05-Aug-21,Canadian Experience Class,"3,000",404
199,04-Aug-21,Provincial Nominee Program,512,760
198,22-Jul-21,Canadian Experience Class,"4,500",357
197,21-Jul-21,Provincial Nominee Program,462,734
196,08-Jul-21,Canadian Experience Class,"4,500",369
195,07-Jul-21,Provincial Nominee Program,627,760
194,24-Jun-21,Canadian Experience Class,"6,000",357
193,23-Jun-21,Provincial Nominee Program,"1,002",742
192,10-Jun-21,Canadian Experience Class,"6,000",368
191,09-Jun-21,Provincial Nominee Program,940,711
190,31-May-21,Canadian Experience Class,"5,956",380
189,26-May-21,Provincial Nominee Program,500,713
188,20-May-21,Canadian Experience Class,"1,842",397
187,13-May-21,Canadian Experience Class,"4,147",401
186,12-May-21,Provincial Nominee Program,557,752
185,29-Apr-21,Canadian Experience Class,"6,000",400
184,28-Apr-21,Provincial Nominee Program,381,717
183,16-Apr-21,Canadian Experience Class,"6,000",417
182,14-Apr-21,Provincial Nominee Program,266,753
181,01-Apr-21,Canadian Experience Class,"5,000",432
180,31-Mar-21,Provincial Nominee Program,284,778
179,18-Mar-21,Canadian Experience Class,"5,000",449
178,17-Mar-21,Provincial Nominee Program,183,682
177,08-Mar-21,Provincial Nominee Program,671,739
176,13-Feb-21,Canadian Experience Class,"27,332",75
175,10-Feb-21,Provincial Nominee Program,654,720
174,21-Jan-21,Canadian Experience Class,"4,626",454
173,20-Jan-21,Provincial Nominee Program,374,741
172,07-Jan-21,Canadian Experience Class,"4,750",461
171,06-Jan-21,Provincial Nominee Program,250,813
170,23-Dec-20,No Program Specified,"5,000",468
169,09-Dec-20,No Program Specified,"5,000",469
168,25-Nov-20,No Program Specified,"5,000",469
167,18-Nov-20,No Program Specified,"5,000",472
166,05-Nov-20,No Program Specified,"4,500",478
165,14-Oct-20,No Program Specified,"4,500",471
164,30-Sep-20,No Program Specified,"4,200",471
163,16-Sep-20,No Program Specified,"4,200",472
162,02-Sep-20,No Program Specified,"4,200",475
161,20-Aug-20,Canadian Experience Class,"3,300",454
160,19-Aug-20,Provincial Nominee Program,600,771
159,06-Aug-20,Federal Skilled Trades,250,415
158,05-Aug-20,No Program Specified,"3,900",476
157,23-Jul-20,Canadian Experience Class,"3,343",445
156,22-Jul-20,Provincial Nominee Program,557,687
155,08-Jul-20,No Program Specified,"3,900",478
154,25-Jun-20,Canadian Experience Class,"3,508",431
153,24-Jun-20,Provincial Nominee Program,392,696
152,11-Jun-20,Canadian Experience Class,"3,559",437
151,10-Jun-20,Provincial Nominee Program,341,743
150,28-May-20,Canadian Experience Class,"3,515",440
149,27-May-20,Provincial Nominee Program,385,757
148,14-May-20,Canadian Experience Class,"3,371",447
147,13-May-20,Provincial Nominee Program,529,718
146,30-Apr-20,Canadian Experience Class,"3,311",452
145,29-Apr-20,Provincial Nominee Program,589,692
144,16-Apr-20,Canadian Experience Class,"3,782",455
143,15-Apr-20,Provincial Nominee Program,118,808
142,09-Apr-20,Canadian Experience Class,"3,294",464
141,09-Apr-20,Provincial Nominee Program,606,698
140,23-Mar-20,Canadian Experience Class,"3,232",467
139,18-Mar-20,Provincial Nominee Program,668,720
138,04-Mar-20,No Program Specified,"3,900",471
137,19-Feb-20,No Program Specified,"4,500",470
136,05-Feb-20,No Program Specified,"3,500",472
135,22-Jan-20,No Program Specified,"3,400",471
134,08-Jan-20,No Program Specified,"3,400",473
133,19-Dec-19,No Program Specified,"3,200",469
132,11-Dec-19,No Program Specified,"3,200",472
131,27-Nov-19,No Program Specified,"3,600",471
130,13-Nov-19,No Program Specified,"3,600",472
129,30-Oct-19,No Program Specified,"3,900",475
128,16-Oct-19,Federal Skilled Trades,500,357
127,02-Oct-19,No Program Specified,"3,900",464
126,18-Sep-19,No Program Specified,"3,600",462
125,04-Sep-19,No Program Specified,"3,600",463
124,20-Aug-19,No Program Specified,"3,600",457
123,12-Aug-19,No Program Specified,"3,600",466
122,24-Jul-19,No Program Specified,"3,600",459
121,10-Jul-19,No Program Specified,"3,600",460
120,26-Jun-19,No Program Specified,"3,350",462
119,12-Jun-19,No Program Specified,"3,350",465
118,29-May-19,No Program Specified,"3,350",470
117,15-May-19,Federal Skilled Trades,500,332
116,01-May-19,No Program Specified,"3,350",450
115,17-Apr-19,No Program Specified,"3,350",451
114,03-Apr-19,No Program Specified,"3,350",451
113,20-Mar-19,No Program Specified,"3,350",452
112,06-Mar-19,No Program Specified,"3,350",454
111,20-Feb-19,No Program Specified,"3,350",457
110,30-Jan-19,No Program Specified,"3,350",438
109,23-Jan-19,No Program Specified,"3,900",443
108,09-Jan-19,No Program Specified,"3,900",449
107,19-Dec-18,No Program Specified,"3,900",439
106,12-Dec-18,No Program Specified,"3,900",445
105,28-Nov-18,No Program Specified,"3,900",445
104,14-Nov-18,No Program Specified,"3,900",449
103,29-Oct-18,No Program Specified,"3,900",442
102,15-Oct-18,No Program Specified,"3,900",440
101,03-Oct-18,No Program Specified,"3,900",445
100,24-Sep-18,Federal Skilled Trades,400,284
99,19-Sep-18,No Program Specified,"3,500",441
98,05-Sep-18,No Program Specified,"3,900",440
97,22-Aug-18,No Program Specified,"3,750",440
96,08-Aug-18,No Program Specified,"3,750",440
95,25-Jul-18,No Program Specified,"3,750",441
94,11-Jul-18,No Program Specified,"3,750",442
93,25-Jun-18,No Program Specified,"3,750",442
92,13-Jun-18,No Program Specified,"3,750",451
91b,30-May-18,Provincial Nominee Program,200,902
91a,30-May-18,Federal Skilled Trades,500,288
90,23-May-18,No Program Specified,"3,500",440
89,09-May-18,No Program Specified,"3,500",441
88,25-Apr-18,No Program Specified,"3,500",441
87,11-Apr-18,No Program Specified,"3,500",444
86,26-Mar-18,No Program Specified,"3,000",446
85,14-Mar-18,No Program Specified,"3,000",456
84,21-Feb-18,No Program Specified,"3,000",442
83,07-Feb-18,No Program Specified,"3,000",442
82,24-Jan-18,No Program Specified,"2,750",444
81,10-Jan-18,No Program Specified,"2,750",446
80,20-Dec-17,No Program Specified,"2,750",446
79,06-Dec-17,No Program Specified,"2,750",452
78,15-Nov-17,No Program Specified,"2,750",439
77,08-Nov-17,No Program Specified,"2,000",458
76,01-Nov-17,Federal Skilled Trades,505,241
75,01-Nov-17,Provincial Nominee Program,290,673
74,18-Oct-17,No Program Specified,"2,757",436
73,04-Oct-17,No Program Specified,"2,801",438
72,20-Sep-17,No Program Specified,"2,871",433
71,06-Sep-17,No Program Specified,"2,772",435
70,23-Aug-17,No Program Specified,"3,035",434
69,09-Aug-17,No Program Specified,"2,991",433
68,02-Aug-17,No Program Specified,"3,264",441
67,12-Jul-17,No Program Specified,"3,202",440
66,28-Jun-17,No Program Specified,"3,409",449
65,31-May-17,No Program Specified,"3,877",413
64,26-May-17,Federal Skilled Trades,400,199
63,26-May-17,Provincial Nominee Program,143,775
62,17-May-17,No Program Specified,"3,687",415
61,04-May-17,No Program Specified,"3,796",423
60,19-Apr-17,No Program Specified,"3,665",415
59,12-Apr-17,No Program Specified,"3,923",423
58,05-Apr-17,No Program Specified,"3,753",431
57,24-Mar-17,No Program Specified,"3,749",441
56,01-Mar-17,No Program Specified,"3,884",434
55,22-Feb-17,No Program Specified,"3,611",441
54,08-Feb-17,No Program Specified,"3,644",447
53,25-Jan-17,No Program Specified,"3,508",453
52,11-Jan-17,No Program Specified,"3,334",459
51,04-Jan-17,No Program Specified,"2,902",468
50,22-Dec-16,No Program Specified,"2,878",475
49,16-Dec-16,No Program Specified,"1,936",497
48,30-Nov-16,Provincial Nominee Program,559,786
47,16-Nov-16,No Program Specified,"2,427",470
46,02-Nov-16,No Program Specified,"2,080",472
45,19-Oct-16,No Program Specified,"1,804",475
44,12-Oct-16,No Program Specified,"1,518",484
43,21-Sep-16,No Program Specified,"1,288",483
42,07-Sep-16,No Program Specified,"1,000",491
41,24-Aug-16,No Program Specified,750,538
40,10-Aug-16,No Program Specified,754,490
39,27-Jul-16,No Program Specified,755,488
38,13-Jul-16,No Program Specified,747,482
37,29-Jun-16,No Program Specified,773,482
36,15-Jun-16,No Program Specified,752,488
35,01-Jun-16,No Program Specified,762,483
34,18-May-16,No Program Specified,763,484
33,06-May-16,No Program Specified,799,534
32,20-Apr-16,No Program Specified,"1,018",468
31,06-Apr-16,No Program Specified,954,470
30,23-Mar-16,No Program Specified,"1,014",470
29,09-Mar-16,No Program Specified,"1,013",473
28,24-Feb-16,No Program Specified,"1,484",453
27,10-Feb-16,No Program Specified,"1,505",459
26,27-Jan-16,No Program Specified,"1,468",457
25,13-Jan-16,No Program Specified,"1,518",453
24,06-Jan-16,No Program Specified,"1,463",461
23,18-Dec-15,No Program Specified,"1,503",460
22,04-Dec-15,No Program Specified,"1,451",461
21,27-Nov-15,No Program Specified,"1,559",472
20,13-Nov-15,No Program Specified,"1,506",484
19,23-Oct-15,No Program Specified,"1,502",489
18,02-Oct-15,No Program Specified,"1,530",450
17,18-Sep-15,No Program Specified,"1,545",450
16,08-Sep-15,No Program Specified,"1,517",459
15,21-Aug-15,No Program Specified,"1,523",456
14,07-Aug-15,No Program Specified,"1,402",471
13,17-Jul-15,No Program Specified,"1,581",451
12,10-Jul-15,No Program Specified,"1,516",463
11,26-Jun-15,No Program Specified,"1,575",469
10,12-Jun-15,No Program Specified,"1,501",482
9,22-May-15,No Program Specified,"1,361",755
8,17-Apr-15,No Program Specified,715,453
7,10-Apr-15,No Program Specified,925,469
6,27-Mar-15,No Program Specified,"1,637",453
5,20-Mar-15,No Program Specified,"1,620",481
4,27-Feb-15,No Program Specified,"1,187",735
3,20-Feb-15,Canadian Experience Class,849,808
2,07-Feb-15,No Program Specified,779,818
1,31-Jan-15,No Program Specified,779,886
